epoch,accuracy,validation_accuracy,true_positives,true_negatives,false_positives,false_negatives
1,0.6706221546525106,0.693200325732899,936,957,448,427
2,0.7057753204428243,0.6976169471588852,887,1065,463,353
3,0.720439884422195,0.7033851339124141,1023,943,380,422
4,0.7323115980983419,0.7007894498733261,1013,934,379,442
5,0.7435333966099417,0.7013323380383641,982,907,409,470
6,0.7531099333075747,0.6964237242128122,1023,946,362,437
7,0.7614632855678936,0.6951796055012668,953,985,432,398
8,0.7685714045727149,0.6919562070213536,932,926,438,472
9,0.7754936835385623,0.6912097357944263,940,959,419,450
10,0.7808452466947772,0.6857808541440463,1040,847,373,508
11,0.7860435180674316,0.6872737965979009,996,906,402,464
12,0.7910863977690796,0.6856507871878393,983,889,403,493
13,0.7956694021200463,0.6869118711545422,1010,888,388,482
14,0.7989441765921347,0.6848873507057546,982,916,372,498
15,0.8019785139516522,0.6862954668838219,978,937,397,456
16,0.8052060409562047,0.6836828175895765,1055,858,351,504
17,0.8084923648092462,0.68478555917481,977,931,393,467
18,0.8113072639306533,0.6830777234889612,965,941,395,467
19,0.813771481848573,0.6809118259138618,1021,900,363,484
20,0.8162787474591362,0.681658297140789,1013,844,392,519
